game,hero,win,side,first_pick_status,pick,order_absolute,order_relative
4061921764,Wraith King,Loss,The Radiant,Second,pick,8,1
4061921764,Pugna,Loss,The Radiant,Second,pick,9,2
4061921764,Crystal Maiden,Loss,The Radiant,Second,pick,15,3
4061921764,Lifestealer,Loss,The Radiant,Second,pick,17,4
4061921764,Storm Spirit,Loss,The Radiant,Second,pick,22,5
4061921764,Necrophos,Loss,The Radiant,Second,ban,2,1
4061921764,Io,Loss,The Radiant,Second,ban,4,2
4061921764,Enchantress,Loss,The Radiant,Second,ban,6,3
4061921764,Bloodseeker,Loss,The Radiant,Second,ban,12,4
4061921764,Spectre,Loss,The Radiant,Second,ban,14,5
4061921764,Tusk,Loss,The Radiant,Second,ban,19,6
4061921764,Tiny,Win,The Dire,First,pick,7,1
4061921764,Phoenix,Win,The Dire,First,pick,10,2
4061921764,Clinkz,Win,The Dire,First,pick,16,3
4061921764,Enigma,Win,The Dire,First,pick,18,4
4061921764,Spirit Breaker,Win,The Dire,First,pick,21,5
4061921764,Mirana,Win,The Dire,First,ban,1,1
4061921764,Silencer,Win,The Dire,First,ban,3,2
4061921764,Weaver,Win,The Dire,First,ban,5,3
4061921764,Ursa,Win,The Dire,First,ban,11,4
4061921764,Huskar,Win,The Dire,First,ban,13,5
4061921764,Lina,Win,The Dire,First,ban,20,6
4061971770,Io,Win,The Dire,First,pick,7,1
4061971770,Gyrocopter,Win,The Dire,First,pick,10,2
4061971770,Leshrac,Win,The Dire,First,pick,16,3
4061971770,Lina,Win,The Dire,First,pick,18,4
4061971770,Beastmaster,Win,The Dire,First,pick,21,5
4061971770,Enigma,Win,The Dire,First,ban,1,1
4061971770,Enchantress,Win,The Dire,First,ban,3,2
4061971770,Weaver,Win,The Dire,First,ban,5,3
4061971770,Clinkz,Win,The Dire,First,ban,11,4
4061971770,Morphling,Win,The Dire,First,ban,13,5
4061971770,Broodmother,Win,The Dire,First,ban,20,6
4061971770,Tiny,Loss,The Radiant,Second,pick,8,1
4061971770,Phoenix,Loss,The Radiant,Second,pick,9,2
4061971770,Chen,Loss,The Radiant,Second,pick,15,3
4061971770,Wraith King,Loss,The Radiant,Second,pick,17,4
4061971770,Invoker,Loss,The Radiant,Second,pick,22,5
4061971770,Necrophos,Loss,The Radiant,Second,ban,2,1
4061971770,Mirana,Loss,The Radiant,Second,ban,4,2
4061971770,Silencer,Loss,The Radiant,Second,ban,6,3
4061971770,Ursa,Loss,The Radiant,Second,ban,12,4
4061971770,Huskar,Loss,The Radiant,Second,ban,14,5
4061971770,Legion Commander,Loss,The Radiant,Second,ban,19,6
